#,"Domain Rating","URL Rating (desc)","Referring Domains","Referring Page URL","Referring Page Title","Internal Links Count","External Links Count","Link URL",TextPre,"Link Anchor",TextPost,Type,"HTTP Code","DP check","RP check",Traffic,Keywords,"Linked Domains"
23,62,10,0,"http://citybests.com/listing.php?q=increasing premium term life insurance","Search results for increasing premium term life insurance -",12,8,https://www.policygenius.com/life-insurance/define/increasing-term-life-insurance,,"Definition of increasing term life insurance - Policygenius",,Dofollow,404,"2020-03-21 03:09:44","2020-03-13 09:16:18",0,0,5
24,61,10,0,https://www.advisoryhq.com/articles/best-dental-insurance/,"Top 6 Sites to Compare Best Dental Insurance Quotes & Plans | 2017 Ranking & Comparison Review – AdvisoryHQ",147,65,https://www.policygenius.com/health-insurance/special_enrollment_reason/,"search for dental insurance quotes in 28411 (North Carolina) reveals","14 total plans from 1 carrier",". Users can then establish their health priorities and compare","Dofollow, Content",404,"2020-04-10 23:57:55","2020-04-11 21:45:18",0.01,5,23
25,54,9,0,http://www.diariosoficiais.com/index.php/paper/18077/,"Help with dissertation uk. Where to buy best custom essay papers popular dissertation writers websites online Why is Community Service important to me? | Teen - Teen",32,118,https://www.policygenius.com/blog/library/uploads/2015/12/willing_join.png/,"popular dissertation hypothesis writer website online",.,,"Dofollow, Content",404,"2020-04-07 14:52:01","2020-03-24 02:20:53",0,0,62
26,54,9,0,http://www.diariosoficiais.com/index.php/home-work/11743/,"Writing Services Provide You With Help On Personal Essay popular music dissertations Center for Career and Professional Development (CCPD) for",32,122,https://www.policygenius.com/blog/library/uploads/2015/12/willing_join.png/,"Dissertation versailles dravit si",.,,"Dofollow, Content",404,"2020-04-07 14:52:01","2020-03-18 01:48:19",0,0,67
27,22,9,1,http://alexatop1m.kritih.com/List-20.html,"best websites, top websites, website ranking, top 10 websites, top sites",204,9312,https://www.policygenius.com/default.htm,,policygenius.com,,Nofollow,404,"2020-04-03 00:01:22","2020-04-17 07:53:43",0.03,7,5206
28,22,9,2,https://alexatop1m.kritih.com/List-20.html,"best websites, top websites, website ranking, top 10 websites, top sites",204,9291,https://www.policygenius.com/default.htm,,policygenius.com,,Nofollow,404,"2020-04-03 00:01:22","2020-04-11 18:34:49",0,0,5202
29,55,9,0,https://0-www-addthis-com.librarycatalog.vts.edu/blog/2014/03/31/show-your-pro-contest-winners/,"""Show Your Pro"" Contest Winners - AddThis",62,18,https://www.policygenius.com/insurance-advice/,,PolicyGenuis.com,,Dofollow,404,"2020-03-25 01:52:12","2020-03-25 22:25:32",0,0,12
30,54,9,0,http://www.diariosoficiais.com/index.php/custom/16733/,"Assignment help site. Buy Good Custom Essay Writing Service Online. dissertation writing website online Pro Tip: How to add a white paper type (Papers2) - Papersapp Support",32,112,https://www.policygenius.com/blog/library/uploads/2015/12/willing_join.png/,"online yale dailynewsreport web fc com Home FC Ask Yale",.,,"Dofollow, Content",404,"2020-04-07 14:52:01","2020-04-05 20:57:14",0,0,60
31,54,9,0,http://www.diariosoficiais.com/index.php/sale/5487/,"Write My Personal Essay For Me | Stokehouse City dissertation introduction writer service HOMEWORK HELP - Cook Memorial Public Library",32,124,https://www.policygenius.com/blog/library/uploads/2015/12/willing_join.png/,"Pay for dissertation phd Essay custom uk dissertation writing services",.,,"Dofollow, Content",404,"2020-04-07 14:52:01","2020-04-03 08:47:16",0,0,62
32,54,9,0,http://www.diariosoficiais.com/index.php/resume/10530/,"8 Great Articles and Essays about Spelling, Punctuation and Grammar popular dissertation introduction writing website gb Banking on Change: Democratising Finance in South Africa 1994-2004",32,123,https://www.policygenius.com/blog/library/uploads/2015/12/willing_join.png/,"Al Nashat Carpets Raanan Estetik",.,,"Dofollow, Content",404,"2020-04-07 14:52:01","2020-04-18 17:46:14",0,0,71
33,54,9,0,https://wegolook.com/blog/article/insurance-is-ready-for-disruption,"Insurance is Ready for Disruption | WeGoLook Blog",45,20,"https://www.policygenius.com/ /t _blank","perfect soil in which to birth aggregator sites such as",PolicyGenius,.,"Dofollow, Content",404,"2020-04-16 06:06:41","2020-03-27 11:08:35",0,0,15
34,54,9,0,https://craft.co/policygenius,"PolicyGenius Company Profile - Office Locations, Competitors, Revenue, Financials, Employees, Key People, Subsidiaries | Craft.co",39,33,https://www.policygenius.com/blog/quibi-is-joining-a-crowded-streaming-market-heres-how-to-cut-through-the-noise-in-the-midst-of-a-pandemic/,,"Looking for something new to stream on your couch? Quibi is joining the market",,Nofollow,404,"2020-03-28 19:36:32","2020-03-28 00:31:13",0.31,8,14
35,49,9,0,https://uberpeople.net/threads/i-have-geico-commercial-insurance-on-the-phone.30998/,"I have geico commercial insurance on the phone?? | Uber Drivers Forum",238,15,https://www.policygenius.com/blog/library/uploads/2014/10/uber_insurance_coverage_infographic_blog_7.22.png/,,https://www.policygenius.com/blog/l..._insurance_coverage_infographic_blog_7.22.png,,Nofollow,404,"2020-03-22 10:00:11","2020-04-05 12:50:00",0,0,7
36,47,9,0,http://m.visitmadison.org/site/v/default?url=http://www.wikihow.com/Cancel-Life-Insurance,"How to Cancel Life Insurance: 13 Steps (with Pictures) - wikiHow",69,31,https://www.policygenius.com/life-insurance/guide/application-process,,https://www.policygenius.com/life-insurance/guide/application-process,,Nofollow,404,"2020-04-15 23:09:50","2020-03-05 10:24:24",0,0,16
37,27,9,0,https://www.howtomoney.com/how-to-choose-life-insurance-that-is-cheap-and-easy-to-buy/,"How to Choose Life Insurance that is Cheap and Easy to Buy - How to Money",44,21,https://www.policygenius.com/howtomoney-disability/,"quotes for other important insurance needs like the often overlooked","disability insurance",.,"Dofollow, Content",404,"2020-04-18 23:06:57","2020-04-17 15:26:30",2.5,59,12
38,39,9,0,https://www.enemyofdebt.com/term-life-insurance-101-its-not-as-difficult-as-you-think/,"Term Life Insurance 101: It's Not as Difficult as You Think : Enemy of Debt",25,40,https://www.policygenius.com/life-insurance/define/increasing-term-life-insurance/,"If you purchase this type of policy, your","death benefit will increase","each year. This also means the monthly premiums will increase","Dofollow, Content",404,"2020-03-24 06:40:21","2020-04-14 01:52:30",0,0,33
39,10,8,1,https://lifeandhealth.expert/state-state-guide-medicaid-qualify,"A State-by-State Guide to Medicaid: Do I Qualify?",57,139,https://www.policygenius.com/blog/a-state-by-state-guide-to-medicaid/mahealthconnector.org/,"How to apply: You can apply online at",MAhealthconnector.org,.,"Dofollow, Content",404,"2020-03-28 06:03:23","2020-02-18 10:43:00",0,1,79
40,10,8,1,https://lifeandhealth.expert/state-state-guide-medicaid-qualify,"A State-by-State Guide to Medicaid: Do I Qualify?",57,139,https://www.policygenius.com/blog/a-state-by-state-guide-to-medicaid/yourtexasbenefits.com/,"How to apply: Texas residents can apply online on the",YourTexasBenefits,"website. You can also print out an application on that","Dofollow, Content",404,"2020-04-14 06:13:35","2020-02-18 10:43:00",0,1,79
41,28,8,0,"http://mx03.wwdas.com/searchblock.php?q=increasing premium term life insurance","Search results for increasing premium term life insurance - LocalToUs",13,8,https://www.policygenius.com/life-insurance/define/increasing-term-life-insurance,,"Definition of increasing term life insurance - Policygenius",,Dofollow,404,"2020-03-21 03:09:44","2020-04-16 23:35:13",0,0,5
42,28,8,0,"http://mx03.wwdas.com/searchblock.php?q=increasing term policy","Search results for increasing term policy - LocalToUs",13,7,https://www.policygenius.com/life-insurance/define/increasing-term-life-insurance,,"Definition of increasing term life insurance - Policygenius",,Dofollow,404,"2020-03-21 03:09:44","2020-04-05 22:44:29",0,0,6
43,20,8,0,https://domainlinks.info/visit.policygenius.com/,"visit.policygenius.com | 18.139.47.197 DNS domain, Similar Websites, Website link, Websites Same Server",78,8,http://visit.policygenius.com/,visit.policygenius.com,,,Nofollow,404,"2020-03-28 13:16:27","2020-04-10 07:24:36",0,0,5
44,28,8,0,https://repositioner.com/differentiate-or-die/,"Differentiate or Die – Marketing Strategy for B2B Companies",18,13,https://www.policygenius.com/life-insurance/mlp-1-pgbtn/,"it all and be all to everyone with a pulse.",Policygenius,"is going to mow you over, people! You can compare","Dofollow, Content",404,"2020-03-27 06:28:30","2020-04-14 22:33:44",0,0,9
45,10,8,0,https://travelbaseonline.com/travel/overrated-spring-break-destinations-where-to-go-instead/,"Overrated spring break destinations & where to go instead | Travel Base Online",53,5,https://www.policygenius.com/blog/6-under-the-radar-spring-break-trips-for-your-family/,Source:,"Read Full Article",,"Dofollow, Content",404,"2020-04-04 02:49:01","2020-03-12 09:04:09",0,0,3
46,0,7,3,http://esraseferinoglu.blogspot.com/,"Talk To Me In English",17,66,https://www.policygenius.com/blog/library/uploads/2014/07/storytelling-magicfrits-ahlefeldt-laurvig.jpg/,,,,"Dofollow, Image",404,"2020-03-27 01:21:54","2020-04-16 13:48:48",0,0,22
47,10,7,0,http://www.agroprojekt.hu/index.php/order/3662/,"resume up the present moment",104,60,https://www.policygenius.com/blog/library/uploads/2014/11/ruby-resume-featimg.png/,,"Marketing analyst resume Marketing analyst resume",,"Dofollow, Image",404,"2020-04-16 08:59:42","2020-04-02 10:42:15",0,0,26
48,13,7,0,https://millennialshow.com/episode-5x06-speed-finds-a-way/,"Episode #5x06: Speed Finds A Way",16,16,"https://www.policygenius.com/),",,"https://www.policygenius.com/),",,Dofollow,404,"2020-03-24 01:26:28","2020-04-03 05:58:44",0,0,8
49,4,7,0,http://please-dont-ask-me-i-dont-remember.blogspot.com/2014/,"please-dont-ask-me-i-dont-remember: 2014",35,356,https://www.policygenius.com/insurance-advice/choose-individual-health-insurance-plan/,"looking to take the next step we've put together a","handy checklist","detailing how to go about shopping on the exchanges.",Dofollow,404,"2020-03-23 12:22:18","2020-04-05 21:23:34",0,0,57
50,4,7,0,http://please-dont-ask-me-i-dont-remember.blogspot.com/2014/,"please-dont-ask-me-i-dont-remember: 2014",35,356,https://www.policygenius.com/insurance-advice/shopping-the-aca-health-insurance-exchanges/,"actual shopping experience is like, we published a detailed account",titled,", "" What no one tells you about shopping the",Dofollow,404,"2020-04-14 21:08:59","2020-04-05 21:23:34",0,0,57
51,4,7,0,http://please-dont-ask-me-i-dont-remember.blogspot.com/2014/03/,"please-dont-ask-me-i-dont-remember: March 2014",22,68,https://www.policygenius.com/insurance-advice/choose-individual-health-insurance-plan/,"looking to take the next step we've put together a","handy checklist","detailing how to go about shopping on the exchanges.",Dofollow,404,"2020-03-23 12:22:18","2020-04-18 06:06:44",0,0,22
52,4,7,0,http://please-dont-ask-me-i-dont-remember.blogspot.com/2014/03/,"please-dont-ask-me-i-dont-remember: March 2014",22,68,https://www.policygenius.com/insurance-advice/shopping-the-aca-health-insurance-exchanges/,"actual shopping experience is like, we published a detailed account",titled,", "" What no one tells you about shopping the",Dofollow,404,"2020-04-14 21:08:59","2020-04-18 06:06:44",0,0,22
53,6,7,0,https://financialcoachgroup.com/category/blog/page/13/,"Blog Archives - Page 13 of 23 - Financial Coach Group",29,33,https://www.policygenius.com/blog/dave-ramsey-the-fiduciary-rule-and-you/,,"Dave Ramsey, the fiduciary rule, and you",,Dofollow,404,"2020-03-19 23:11:15","2020-04-15 08:55:35",0,0,21
54,14,7,0,https://www.semanticjuice.com/homeowners/policygenius.com,"policygenius.com - Homeowners",74,85,https://www.policygenius.com/blog/tag/credit-cards/,,https://www.policygenius.com/blog/tag/credit-cards/,,"Dofollow, Image",404,"2020-04-03 07:22:26","2020-04-17 21:09:07",0,0,25
55,14,7,0,https://www.semanticjuice.com/employee-benefits/policygenius.com,"policygenius.com - employee benefits",74,109,https://www.policygenius.com/blog/dave-ramsey-term-life-insurance-whole-life-insurance/,,https://www.policygenius.com/blog/dave-ramsey-term-life-insurance-whole-life-insurance/,,"Dofollow, Image",404,"2020-04-03 13:38:07","2020-04-15 03:40:51",0,0,24
56,4,6,0,http://please-dont-ask-me-i-dont-remember.blogspot.com/2014/03/poor-and-uninsured-youve-got-obamacare.html,"please-dont-ask-me-i-dont-remember: Poor and Uninsured? You've got an Obamacare Discount Waiting",22,28,https://www.policygenius.com/insurance-advice/choose-individual-health-insurance-plan/,"looking to take the next step we've put together a","handy checklist","detailing how to go about shopping on the exchanges.","Dofollow, Content",404,"2020-03-23 12:22:18","2020-03-26 12:40:37",0,0,13
57,4,6,0,http://please-dont-ask-me-i-dont-remember.blogspot.com/2014/03/poor-and-uninsured-youve-got-obamacare.html,"please-dont-ask-me-i-dont-remember: Poor and Uninsured? You've got an Obamacare Discount Waiting",22,28,https://www.policygenius.com/insurance-advice/shopping-the-aca-health-insurance-exchanges/,"actual shopping experience is like, we published a detailed account",titled,", "" What no one tells you about shopping the","Dofollow, Content",404,"2020-04-14 21:08:59","2020-03-26 12:40:37",0,0,13
58,3,6,0,http://www.colwis.ca/index.php/resume/9212/,"do my investments term paper",93,54,https://www.policygenius.com/blog/library/uploads/2017/02/premium-investment-feature-021617.jpg/,,"Portfolio Essay Example Amazon com index fund portfolio",,"Nofollow, Image",404,"2020-04-12 22:02:06","2020-04-13 23:37:02",0,0,38
59,6,6,0,http://theherdlocker.com/tweet/index?q=fintech&offset=88030&max=10,"#fintech content 19-Mar-20 19:56 to 19-Mar-20 19:15 - TheHerdLocker.com",19,45,https://www.policygenius.com/blog/quibi-is-joining-a-crowded-streaming-market-heres-how-to-cut-through-the-noise-in-the-midst-of-a-pandemic/,,https://www.policygenius.com/blog/quibi-is-joining-a-crowded-streaming-market-heres-how-to-cut-through-the-noise-in-the-midst-of-a-pandemic/,,Dofollow,404,"2020-03-28 19:36:32","2020-03-19 20:06:21",0,0,16
60,5,6,0,https://kipkis.com/Cancel_Life_Insurance,"Cancel Life Insurance - Kipkis",16,21,https://www.policygenius.com/life-insurance/guide/application-process,,https://www.policygenius.com/life-insurance/guide/application-process,,Nofollow,404,"2020-04-15 23:09:50","2020-03-31 03:27:44",0,0,12
61,6,6,0,https://financialcoachgroup.com/category/blog/page/12/,"Blog Archives - Page 12 of 23 - Financial Coach Group",29,35,https://www.policygenius.com/blog/dave-ramsey-the-fiduciary-rule-and-you/,,"Dave Ramsey, the fiduciary rule, and you",,Dofollow,404,"2020-03-19 23:11:15","2020-03-22 08:22:16",0,0,22
62,6,6,0,https://financialcoachgroup.com/category/fctop5/page/9/,"Top Plays Archives - Page 9 of 14 - Financial Coach Group",28,43,https://www.policygenius.com/blog/dave-ramsey-the-fiduciary-rule-and-you/,,"Dave Ramsey, the fiduciary rule, and you",,Dofollow,404,"2020-03-19 23:11:15","2020-03-14 11:27:24",0,0,26
63,5,5,0,https://www.millenniumbrokers.com/life-insurance/,"Get an Instant Life Insurance Quote - Millennium Brokers",21,16,https://www.policygenius.com/life-insurance/define/increasing-term-life-insurance,,"Increasing Term","is just the opposite. Both the premium and the death","Dofollow, Content",404,"2020-03-21 03:09:44","2020-03-19 18:05:24",0,2,12
64,3,5,0,https://medcapassets.com/how-come-no-one-talks-about-20-year-mortgages/,"How come no one talks about 20-year mortgages? | Medallion Capital",17,16,https://www.policygenius.com/blog/how-come-no-one-talks-about-20-year-mortgages/﻿/,"This article originally appeared on",Policygenius.,,Dofollow,404,"2020-03-29 11:57:49","2020-04-03 09:58:56",0,0,3
65,0,5,0,http://always.loveyou.tips/28793/,"Galleries Related: How Much Do You Love Me Answers , How Much Do You Love Me Poems , - ALWAYS",46,8,https://www.policygenius.com/blog/wp-content/uploads/2014/09/top-ten-pet-claims.png/,Origin:,"862 X 2152, 129KB",,"Dofollow, Content",404,"2020-04-16 13:20:34","2020-03-23 02:42:12",0,0,3
66,3,5,0,http://medcapassets.com/how-come-no-one-talks-about-20-year-mortgages/,"How come no one talks about 20-year mortgages? | Medallion Capital",18,21,https://www.policygenius.com/blog/how-come-no-one-talks-about-20-year-mortgages/﻿/,"This article originally appeared on",Policygenius.,,Dofollow,404,"2020-03-29 11:57:49","2020-04-03 14:01:24",0,0,3
67,6,5,0,https://financialcoachgroup.com/2016/03/21/fc-top-five-15/,"Top Plays of the Week - Financial Coach Group",23,26,https://www.policygenius.com/blog/dave-ramsey-the-fiduciary-rule-and-you/,,"Dave Ramsey, the fiduciary rule, and you",,Dofollow,404,"2020-03-19 23:11:15","2020-04-16 22:42:22",0,0,17
68,0,5,1,http://alternativemedicinenaoroi.blogspot.com/2016/10/you-know-what-they-call-alternative.html,"Alternative Medicine: You Know What They Call Alternative Medicine",101,58,https://www.policygenius.com/blog/library/uploads/2014/08/010-dr-k-200x300.jpg/,,"Photos of You Know What They Call Alternative Medicine",,"Dofollow, Image",404,"2020-04-08 13:35:00","2020-04-18 11:27:22",0.03,1,43
69,1,4,0,http://emergencyclinictsudobie.blogspot.com/2015/08/emergency-clinic-no-insurance.html,"Emergency Clinic: Emergency Clinic No Insurance",61,74,https://www.policygenius.com/blog/library/uploads/2014/10/kitten_check_up_at_guantanamo.jpg/,,"Emergency Clinic No Insurance Pictures",,"Dofollow, Image, Content",404,"2020-03-28 13:47:03","2020-04-17 01:38:52",0,0,50
70,0,3,0,http://dentalinsurancechiginma.blogspot.com/2017/06/dental-insurance-discount-plans.html,"Dental Insurance: Dental Insurance Discount Plans",63,60,https://www.policygenius.com/blog/library/uploads/2014/08/dental-no-retainer-resized.jpg/,,"Photos of Dental Insurance Discount Plans",,"Dofollow, Image",404,"2020-03-16 17:05:18","2020-04-05 07:12:03",0,0,41
71,0,3,0,http://dentalinsurancechiginma.blogspot.com/2017/06/dental-insurance-vs-dental-discount.html,"Dental Insurance: Dental Insurance Vs Dental Discount",63,59,https://www.policygenius.com/blog/library/uploads/2015/07/dentalplans-ads-01-728x90.png/,,"Dental Insurance Vs Dental Discount Photos",,"Dofollow, Image",404,"2020-04-04 03:08:37","2020-04-16 23:07:02",0,0,37
72,0,3,0,https://www.bradly.pw/video/rBjIEffMq0g,"Halloween Special | King and the Sting w/ Theo Von & Brendan Schaub #43",33,11,https://www.policygenius.com/To/,"KATS3. HelloFresh - https://hellofresh.com/kats80 promo code: KATS804. Policy Genius -",https://policygenius.com/To,"submit to the show email: [email protected] the subject line, specify",Nofollow,404,"2020-04-20 03:52:54","2020-03-05 15:56:04",0,0,7
73,0,1,0,https://www.solowealth.com/blog/diy-financial-planning-has-never-been-easier-heres-how/,"Build Your Own Financial Plan! Here’s how… : Solowealth",30,44,https://www.policygenius.com/insurance-checkup-and-advice/basics/,,"Insurance Checkup",,"Dofollow, Content",404,"2020-03-23 16:32:17","2020-03-21 09:44:43",0,0,18
74,0,1,0,http://yhtmagazine.com/top-5-health-insurance-shopping-secrets-from-personal-finance-experts/,"Top 5 health insurance shopping secrets from personal finance experts | Your Health Today Magazine",13,53,https://www.policygenius.com/health-insurance/learn/what-we-learned-about-health-insurance/,"We recently","took a survey of 10 of the largest cities in America","to see how well they knew common health insurance terms.","Dofollow, Content",404,"2020-03-28 18:11:17","2020-03-26 12:24:13",0,0,13
75,0,0,0,https://mylifeinsurancerates.com/reasons-men-buy-life-insurance/,"Reasons Men Buy Life Insurance - mylifeinsurancerates.com",34,6,https://www.policygenius.com/blog/clark_howard_whole_life_insurance_term/,,www.policygenius.com?/blog/clark_howard_whole_life_insurance_term/,,Dofollow,404,"2020-04-06 17:38:36","2020-04-11 16:57:35",0,0,3
76,0,0,0,http://amendedtaxreturnzushikiwa.blogspot.com/2017/02/file-amended-tax-return-turbotax.html,"Amended Tax Return: File Amended Tax Return Turbotax",70,57,https://www.policygenius.com/blog/library/uploads/2016/03/turbotax-feature-030116.jpg/,,"File Amended Tax Return Turbotax",,"Dofollow, Image, Content",404,"2020-04-18 07:17:21","2020-04-17 23:01:24",0,0,39
